primary,secondary,third,sum
Rikets styrelse,,,"12,413,383"
Rikets styrelse,Statschefen,,"127,522"
Rikets styrelse,Statschefen,Kungliga hov- och slottsstaten,"127,522"
Rikets styrelse,Riksdagen samt JO m.m.,,"1,733,758"
Rikets styrelse,Riksdagen samt JO m.m.,Riksdagens ledamöter och partier m.m.,"851,870"
Rikets styrelse,Riksdagen samt JO m.m.,Riksdagens förvaltningsanslag,"705,646"
Rikets styrelse,Riksdagen samt JO m.m.,Riksdagens fastighetsanslag,"90,000"
Rikets styrelse,Riksdagen samt JO m.m.,Riksdagens ombudsmän (JO),"86,242"
Rikets styrelse,Sametinget,,"40,511"
Rikets styrelse,Sametinget,Sametinget,"40,511"
Rikets styrelse,Regeringskansliet m.m.,,"6,885,671"
Rikets styrelse,Regeringskansliet m.m.,Regeringskansliet m.m.,"6,885,671"
Rikets styrelse,Länsstyrelserna,,"2,561,405"
Rikets styrelse,Länsstyrelserna,Länsstyrelserna m.m.,"2,561,405"
Rikets styrelse,Demokratipolitik,,"327,835"
Rikets styrelse,Demokratipolitik,Allmänna val och demokrati,"52,340"
Rikets styrelse,Demokratipolitik,Justitiekanslern,"39,923"
Rikets styrelse,Demokratipolitik,Datainspektionen,"44,033"
Rikets styrelse,Demokratipolitik,Svensk författningssamling,"1,300"
Rikets styrelse,Demokratipolitik,Valmyndigheten,"19,039"
Rikets styrelse,Demokratipolitik,Stöd till politiska partier,"171,200"
Rikets styrelse,Nationella minoriteter,,"119,417"
Rikets styrelse,Nationella minoriteter,Åtgärder för nationella minoriteter,"102,917"
Rikets styrelse,Nationella minoriteter,Åtgärder för den nationella minoriteten romer,"16,500"
Rikets styrelse,Mediefrågor,,"599,776"
Rikets styrelse,Mediefrågor,Presstödsnämnden,"6,842"
Rikets styrelse,Mediefrågor,Presstöd,"567,119"
Rikets styrelse,Mediefrågor,Myndigheten för radio och tv,"25,815"
Rikets styrelse,Sieps samt EU-information,,"17,488"
Rikets styrelse,Sieps samt EU-information,Svenska institutet för europapolitiska studier samt EU-information,"17,488"
Samhällsekonomi och finansförvaltning,,,"14,589,790"
Samhällsekonomi och finansförvaltning,,Statskontoret,"88,429"
Samhällsekonomi och finansförvaltning,,Kammarkollegiet,"54,459"
Samhällsekonomi och finansförvaltning,,Finansinspektionens avgifter till EU:s tillsynsmyndigheter,"7,150"
Samhällsekonomi och finansförvaltning,,Arbetsgivarpolitiska frågor,"2,443"
Samhällsekonomi och finansförvaltning,,Statliga tjänstepensioner m.m.,"12,221,000"
Samhällsekonomi och finansförvaltning,,Finanspolitiska rådet,"9,547"
Samhällsekonomi och finansförvaltning,,Konjunkturinstitutet,"59,918"
Samhällsekonomi och finansförvaltning,,Ekonomistyrningsverket,"158,422"
Samhällsekonomi och finansförvaltning,,Statistiska centralbyrån,"545,442"
Samhällsekonomi och finansförvaltning,,Bidragsfastigheter,"339,500"
Samhällsekonomi och finansförvaltning,,Finansinspektionen,"452,507"
Samhällsekonomi och finansförvaltning,,Riksgäldskontoret,"304,474"
Samhällsekonomi och finansförvaltning,,Bokföringsnämnden,"9,683"
Samhällsekonomi och finansförvaltning,,Vissa garanti- och medlemsavgifter,"2,370"
Samhällsekonomi och finansförvaltning,,Riksrevisionen,"314,446"
Samhällsekonomi och finansförvaltning,,Finansmarknadsforskning,"20,000"
"Skatt, tull och exekution",,,"10,580,976"
"Skatt, tull och exekution",,Skatteverket,"7,091,609"
"Skatt, tull och exekution",,Kronofogdemyndigheten,"1,807,030"
"Skatt, tull och exekution",,Tullverket,"1,682,337"
Rättsväsendet,,,"40,757,864"
Rättsväsendet,,Polisorganisationen,"21,159,726"
Rättsväsendet,,Säkerhetspolisen,"1,142,065"
Rättsväsendet,,Åklagarmyndigheten,"1,396,032"
Rättsväsendet,,Ekobrottsmyndigheten,"609,267"
Rättsväsendet,,Sveriges Domstolar,"5,370,755"
